TEAM,NAME,EXPERIENCE,URL,POSITION,AGE,HT,WT,COLLEGE,SALARY,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGM_FGA,FGP,THM_THA,THP,FTM_FTA,FTP,APG,BLKPG,STLPG,TOPG,PPG
LA Clippers,Angel Delgado,0,http://www.espn.com/nba/player/_/id/3136479,C,23,208.28,110.86,Seton Hall,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA Clippers,Jawun Evans,1,http://www.espn.com/nba/player/_/id/3912854,PG,22,182.88,85.97,Oklahoma State,"1,378,242",4.8,2.1,1.8,7.23,4.8,2.1,1.8,48,16.2,1.9-5.3,0.352,0.3-1.1,0.278,0.8-1.0,0.776,2.1,0.1,0.8,0.9,4.8
LA Clippers,Danilo Gallinari,9,http://www.espn.com/nba/player/_/id/3428,SF,30,208.28,101.81,-,"21,587,579",15.3,2,4.8,13.96,15.3,2,4.7,481,31.2,4.6-11.0,0.419,1.8-4.9,0.367,4.3-4.9,0.865,2,0.4,0.8,1.3,15.3
LA Clippers,Shai Gilgeous-Alexander,0,http://www.espn.com/nba/player/_/id/4278073,PG,20,198.12,81.9,Kentucky,"3,375,360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA Clippers,Marcin Gortat,11,http://www.espn.com/nba/player/_/id/2758,C,34,210.82,108.6,-,"13,565,218",8.4,7.6,0.7,14.7,10.2,8.1,1.1,759,26.3,4.4-7.9,0.552,0.0-0.0,0.15,1.5-2.2,0.678,1.1,1.1,0.5,1.2,10.2
LA Clippers,Montrezl Harrell,3,http://www.espn.com/nba/player/_/id/2991055,PF,24,203.2,108.6,Louisville,"6,000,000",11,4,0.7,24.73,8.7,3.4,0.6,173,15.8,3.6-5.7,0.642,0.0-0.1,0.133,1.4-2.2,0.614,0.9,0.6,0.4,0.7,8.7
LA Clippers,Tobias Harris,7,http://www.espn.com/nba/player/_/id/6440,SF,26,205.74,106.33,Tennessee,"14,800,000",18.6,2.4,5.5,17.2,14.6,1.7,5.6,464,29.6,5.6-11.9,0.467,1.1-3.2,0.355,2.4-2.9,0.812,1.7,0.5,0.8,1.3,14.6
LA Clippers,Wesley Johnson,8,http://www.espn.com/nba/player/_/id/4247,SF,31,200.66,97.29,Syracuse,"6,134,520",5.4,0.8,2.9,9.81,7.2,1.1,3.2,571,22.7,2.8-6.8,0.406,1.0-3.1,0.337,0.6-0.8,0.743,1.1,0.7,0.8,0.9,7.2
LA Clippers,Boban Marjanovic,3,http://www.espn.com/nba/player/_/id/4376,C,30,220.98,131.22,-,"7,000,000",6,3.7,0.3,25.98,5.6,3.7,0.4,128,8.9,2.0-3.5,0.564,0.0-0.0,0,1.6-2.1,0.784,0.4,0.4,0.2,0.6,5.6
LA Clippers,Luc Mbah a Moute,10,http://www.espn.com/nba/player/_/id/3451,PF,31,203.2,104.07,UCLA,"4,320,500",7.5,3,0.4,10.29,6.4,4.1,0.4,682,23.4,2.5-5.4,0.455,0.3-0.9,0.336,1.2-1.8,0.661,0.9,0.4,0.9,0.9,6.4
LA Clippers,Johnathan Motley,1,http://www.espn.com/nba/player/_/id/3059306,PF,23,208.28,104.07,Baylor,Not signed,8.7,4.5,0.2,17.31,8.7,4.5,0.2,11,16,3.6-6.8,0.533,0.1-0.5,0.167,1.4-2.5,0.536,0.6,0.2,0.3,0.8,8.7
LA Clippers,Jerome Robinson,0,http://www.espn.com/nba/player/_/id/3943606,SG,21,195.58,85.97,Boston College,"3,046,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA Clippers,Mike Scott,6,http://www.espn.com/nba/player/_/id/6622,PF,30,203.2,107.24,Virginia,"4,320,500",8.8,3.3,0.1,13.72,7.4,3,0.1,357,16,2.9-6.1,0.476,0.7-2.1,0.351,0.9-1.2,0.762,0.9,0.1,0.3,0.8,7.4
